timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1678536000;Mar 11 2023 - 12:00pm;complete;N/A;Lanus Women;Estudiantes La Plata Women;N/A;3;1.00;1.00;0.67;0.75;1;2;3;2;1;1;29;27,9;1;5;2;0;3;0;1;1;0;3;8;13;4;3;4;10;-1;-1;50;50;0.62;1.13;1.05;1.52;2.00;50;50;50;50;0;0;0;50;50;3.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio LanÇ§s Auxiliar (ValentÇðn Alsina- Provincia de Buenos Aires)
1678564800;Mar 11 2023 - 8:00pm;complete;N/A;Defensores de Belgrano W;Boca Juniors Women;N/A;3;0.00;1.00;0.73;2.25;0;1;1;1;0;1;;4503;1;5;2;0;2;0;1;1;1;1;3;14;2;5;1;9;-1;-1;50;50;1.12;1.67;0.45;1.60;4.50;100;100;50;50;50;50;50;100;100;11.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Pasquale (Capital Federal- Ciudad de Buenos Aires)
1678622400;Mar 12 2023 - 12:00pm;complete;N/A;Gimnasia La Plata W;UAI Urquiza Women;N/A;3;1.00;0.00;1.27;2.80;0;1;1;1;0;1;;38;1;7;2;0;1;0;0;2;0;1;7;14;3;5;4;9;-1;-1;50;50;1.08;0.00;0.89;1.83;0.00;0;0;0;0;0;0;0;0;0;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1678622400;Mar 12 2023 - 12:00pm;complete;N/A;Platense Women;Banfield W;N/A;3;1.00;0.00;2.50;1.58;1;0;1;1;1;0;26;;2;3;1;0;2;1;1;0;1;2;15;12;6;7;9;5;-1;-1;50;50;1.37;0.96;1.80;1.64;3.00;50;100;50;50;0;0;50;100;100;5.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Alejandro Mariani DolÇ­n (Capital Federal- Ciudad de Buenos Aires)
1678737600;Mar 13 2023 - 8:00pm;complete;N/A;Belgrano W;San Lorenzo Women;N/A;3;3.00;3.00;1.73;1.50;0;3;3;1;0;1;;4501,68,77;2;1;-1;-1;-1;-1;-1;-1;-1;-1;7;17;5;10;2;7;-1;-1;50;50;0.00;1.29;1.01;2.08;3.00;100;100;100;0;0;0;50;50;50;7.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio C. A. Racing (Ciudad de CÇürdoba- Provincia de CÇürdoba)
1678737600;Mar 13 2023 - 8:00pm;complete;N/A;River Plate Women;Excursionistas Women;N/A;3;3.00;0.00;2.30;0.83;2;1;3;2;1;1;10,64;32;7;0;2;0;1;0;0;2;0;1;15;11;5;5;10;6;-1;-1;50;50;1.94;0.00;1.66;1.22;2.50;50;100;50;0;0;50;50;0;0;7.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Polideportivo CA River Plate (Predio Ezeiza) (Ezeiza- Provincia de Buenos Aires)
1678818600;Mar 14 2023 - 6:30pm;complete;N/A;Estudiantes Caseros W;Ferro Carril Oeste Women;N/A;3;0.00;0.00;1.55;0.27;0;3;3;1;0;1;;28,65,84;2;4;4;0;2;0;2;2;1;1;12;7;5;5;7;2;-1;-1;50;50;0.00;1.16;1.53;1.20;1.00;0;50;0;0;0;50;50;0;0;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Ciudad de Caseros (Caseros- Provincia de Buenos Aires)
1679058000;Mar 17 2023 - 1:00pm;complete;N/A;UAI Urquiza Women;Platense Women;N/A;4;3.00;1.00;2.23;1.30;0;0;0;0;0;0;;;5;2;-1;-1;-1;-1;-1;-1;-1;-1;15;11;3;6;12;5;-1;-1;50;50;1.80;0.96;1.71;1.48;3.25;50;100;50;50;25;75;100;50;50;9.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Monumental de Villa Lynch (General San MartÇðn- Provincia de Buenos Aires)
1679077800;Mar 17 2023 - 6:30pm;complete;N/A;SAT W;Defensores de Belgrano W;N/A;4;1.00;0.00;0.73;0.00;3;0;3;2;2;0;19,25,85;;1;6;1;0;3;0;0;1;1;2;10;9;7;3;3;6;-1;-1;50;50;1.19;0.52;1.50;1.16;2.00;50;100;0;0;0;50;100;0;50;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Camping Moreno SATSAID (Moreno- Provincia de Buenos Aires)
1679164200;Mar 18 2023 - 6:30pm;complete;N/A;Independiente Women;Estudiantes Caseros W;N/A;4;3.00;0.50;2.00;0.91;2;0;2;0;0;0;68,87;;5;2;2;0;0;0;1;1;0;0;12;8;4;0;8;8;-1;-1;50;50;1.37;1.42;1.52;0.98;0.75;0;0;0;0;0;0;25;0;50;6.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Independiente - Complejo Santo Domingo (Avellaneda- Provincia de Buenos Aires)
