celda;Aporte_FA_Voz;Aporte_Drops_Voz;Drops;Dropstotal;Trafico_Total
LGC003C;;0.00;0;2604;13633.24006571807
LGC004A;;0.04;1;2604;13633.24006571807
LGC004B;;0.00;0;2604;13633.24006571807
LGC004C;;0.00;0;2604;13633.24006571807
LGC005A;;0.00;0;2604;13633.24006571807
LGC005B;;0.00;0;2604;13633.24006571807
LGC005C;;0.00;0;2604;13633.24006571807
LGC007A;;0.04;1;2604;13633.24006571807
LGC007B;;0.00;0;2604;13633.24006571807
LGC007C;;0.04;1;2604;13633.24006571807
LGC008A;;0.00;0;2604;13633.24006571807
LGC008B;;0.08;2;2604;13633.24006571807
LGC008C;;0.12;3;2604;13633.24006571807
LGC012A;;0.00;0;2604;13633.24006571807
LGC012B;;0.00;0;2604;13633.24006571807
LGC012C;;0.04;1;2604;13633.24006571807
LGC013A;;0.00;0;2604;13633.24006571807
LGC013B;;0.08;2;2604;13633.24006571807
LGC013C;;0.04;1;2604;13633.24006571807
LGC014A;;0.00;0;2604;13633.24006571807
LGC014B;;0.04;1;2604;13633.24006571807
LGC014C;;0.00;0;2604;13633.24006571807
LGC015A;;0.00;0;2604;13633.24006571807
LGC015B;;0.04;1;2604;13633.24006571807
LGC015C;;0.12;3;2604;13633.24006571807
LGC016A;;0.00;0;2604;13633.24006571807
LGC016B;;0.04;1;2604;13633.24006571807
LGC016C;;0.00;0;2604;13633.24006571807
LGC020A;;0.00;0;2604;13633.24006571807
LGC020B;;0.00;0;2604;13633.24006571807
LGC020C;;0.00;0;2604;13633.24006571807
LGC306A;;0.00;0;2604;13633.24006571807
LGC306B;;0.15;4;2604;13633.24006571807
LGC306C;;0.00;0;2604;13633.24006571807
LGC310A;;0.31;8;2604;13633.24006571807
LGC310B;;0.00;0;2604;13633.24006571807
LGC310C;;0.04;1;2604;13633.24006571807
LGW003A;;0.04;1;2604;13633.24006571807
LGW003B;;0.00;0;2604;13633.24006571807
LGW003C;;0.04;1;2604;13633.24006571807
LGW005A;;0.00;0;2604;13633.24006571807
LGW005B;;0.12;3;2604;13633.24006571807
LGW005C;;0.04;1;2604;13633.24006571807
LGW033A;;0.19;5;2604;13633.24006571807
LGW033B;;0.27;7;2604;13633.24006571807
LGW033C;;0.19;5;2604;13633.24006571807
LGW038A;;0.00;0;2604;13633.24006571807
LGW038B;;0.08;2;2604;13633.24006571807
LGW038C;;0.00;0;2604;13633.24006571807
LGW040A;;0.08;2;2604;13633.24006571807
LGW040B;;0.00;0;2604;13633.24006571807
LGW040C;;0.15;4;2604;13633.24006571807
LGW041A;;0.00;0;2604;13633.24006571807
LGW041B;;0.00;0;2604;13633.24006571807
LGW041C;;0.00;0;2604;13633.24006571807
LGW042A;;0.00;0;2604;13633.24006571807
LGW042B;;0.00;0;2604;13633.24006571807
LGW042C;;0.23;6;2604;13633.24006571807
MGC001A;;0.12;3;2604;13633.24006571807
MGC001B;;0.61;16;2604;13633.24006571807
MGC001C;;0.08;2;2604;13633.24006571807
MGC002A;;0.00;0;2604;13633.24006571807
MGC002B;;0.19;5;2604;13633.24006571807
MGC002C;;0.08;2;2604;13633.24006571807
MGC003A;;0.23;6;2604;13633.24006571807
MGC003B;;0.23;6;2604;13633.24006571807
MGC003C;;0.23;6;2604;13633.24006571807
MGW003A;;0.04;1;2604;13633.24006571807
MGW003B;;0.04;1;2604;13633.24006571807
MGW003C;;0.04;1;2604;13633.24006571807
NGC001A;;0.00;0;2604;13633.24006571807
NGC001B;;0.00;0;2604;13633.24006571807
NGC001C;;0.00;0;2604;13633.24006571807
NGC002A;;0.08;2;2604;13633.24006571807
NGC002B;;0.00;0;2604;13633.24006571807
NGC002C;;0.08;2;2604;13633.24006571807
NGC011A;;0.00;0;2604;13633.24006571807
NGC011B;;0.00;0;2604;13633.24006571807
NGC011C;;0.00;0;2604;13633.24006571807
NGW003A;;0.00;0;2604;13633.24006571807
NGW003B;;0.04;1;2604;13633.24006571807
NGW003C;;0.08;2;2604;13633.24006571807
OGC001A;;0.00;0;2604;13633.24006571807
OGC001B;;0.00;0;2604;13633.24006571807
OGC001C;;0.00;0;2604;13633.24006571807
VGC001A;;0.19;5;2604;13633.24006571807
VGC001B;;0.73;19;2604;13633.24006571807
VGC001C;;0.04;1;2604;13633.24006571807
VGC001X;;0.35;9;2604;13633.24006571807
VGC001Y;;0.04;1;2604;13633.24006571807
VGC001Z;;0.08;2;2604;13633.24006571807
VGC002A;;1.08;28;2604;13633.24006571807
VGC002B;;2.04;53;2604;13633.24006571807
VGC002C;;0.08;2;2604;13633.24006571807
VGC002X;;0.27;7;2604;13633.24006571807
VGC002Y;;1.96;51;2604;13633.24006571807
VGC002Z;;0.84;22;2604;13633.24006571807
VGC003A;;0.12;3;2604;13633.24006571807
VGC003B;;0.08;2;2604;13633.24006571807
VGC003C;;0.15;4;2604;13633.24006571807
VGC003X;;0.08;2;2604;13633.24006571807
VGC003Y;;0.04;1;2604;13633.24006571807
VGC003Z;;0.15;4;2604;13633.24006571807
VGC004A;;0.04;1;2604;13633.24006571807
VGC004B;;0.08;2;2604;13633.24006571807
VGC004C;;0.15;4;2604;13633.24006571807
VGC004X;;0.08;2;2604;13633.24006571807
VGC004Y;;0.15;4;2604;13633.24006571807
VGC004Z;;0.08;2;2604;13633.24006571807
VGC005A;;0.12;3;2604;13633.24006571807
VGC005B;;0.04;1;2604;13633.24006571807
VGC005C;;0.19;5;2604;13633.24006571807
VGC005X;;0.27;7;2604;13633.24006571807
VGC005Y;;0.12;3;2604;13633.24006571807
VGC005Z;;0.04;1;2604;13633.24006571807
VGC007A;;0.08;2;2604;13633.24006571807
VGC007B;;0.23;6;2604;13633.24006571807
VGC007C;;0.08;2;2604;13633.24006571807
VGC007X;;0.12;3;2604;13633.24006571807
VGC007Y;;0.58;15;2604;13633.24006571807
VGC007Z;;0.08;2;2604;13633.24006571807
VGC008A;;1.42;37;2604;13633.24006571807
VGC008B;;1.00;26;2604;13633.24006571807
VGC008C;;0.65;17;2604;13633.24006571807
VGC008X;;0.65;17;2604;13633.24006571807
VGC008Y;;0.92;24;2604;13633.24006571807
VGC008Z;;1.65;43;2604;13633.24006571807
VGC011A;;0.04;1;2604;13633.24006571807
VGC011B;;0.15;4;2604;13633.24006571807
VGC011C;;0.08;2;2604;13633.24006571807
VGC011X;;0.08;2;2604;13633.24006571807
VGC011Y;;0.31;8;2604;13633.24006571807
VGC011Z;;0.08;2;2604;13633.24006571807
VGC012A;;0.46;12;2604;13633.24006571807
VGC012B;;0.08;2;2604;13633.24006571807
VGC012C;;0.04;1;2604;13633.24006571807
VGC012X;;0.08;2;2604;13633.24006571807
VGC012Y;;0.00;0;2604;13633.24006571807
VGC012Z;;0.19;5;2604;13633.24006571807
VGC013A;;0.31;8;2604;13633.24006571807
VGC013B;;0.19;5;2604;13633.24006571807
VGC013C;;0.12;3;2604;13633.24006571807
VGC013X;;0.04;1;2604;13633.24006571807
VGC013Y;;0.27;7;2604;13633.24006571807
VGC013Z;;0.12;3;2604;13633.24006571807
VGC014A;;0.19;5;2604;13633.24006571807
VGC014B;;0.65;17;2604;13633.24006571807
VGC014C;;0.00;0;2604;13633.24006571807
VGC014X;;0.31;8;2604;13633.24006571807
VGC014Y;;0.73;19;2604;13633.24006571807
VGC014Z;;0.23;6;2604;13633.24006571807
VGC015A;;0.08;2;2604;13633.24006571807
VGC015B;;0.27;7;2604;13633.24006571807
VGC015C;;0.00;0;2604;13633.24006571807
VGC015X;;0.00;0;2604;13633.24006571807
VGC015Y;;0.15;4;2604;13633.24006571807
VGC015Z;;0.23;6;2604;13633.24006571807
VGC016A;;0.27;7;2604;13633.24006571807
VGC016B;;0.50;13;2604;13633.24006571807
VGC016C;;0.23;6;2604;13633.24006571807
VGC016X;;0.08;2;2604;13633.24006571807
VGC016Y;;0.31;8;2604;13633.24006571807
VGC016Z;;0.38;10;2604;13633.24006571807
VGC020A;;0.81;21;2604;13633.24006571807
VGC020B;;0.12;3;2604;13633.24006571807
VGC020C;;0.23;6;2604;13633.24006571807
VGC020X;;0.12;3;2604;13633.24006571807
VGC020Y;;0.27;7;2604;13633.24006571807
VGC020Z;;0.73;19;2604;13633.24006571807
VGC306A;;0.08;2;2604;13633.24006571807
VGC306B;;0.31;8;2604;13633.24006571807
VGC306C;;0.00;0;2604;13633.24006571807
VGC306X;;0.04;1;2604;13633.24006571807
VGC306Y;;0.31;8;2604;13633.24006571807
VGC306Z;;0.15;4;2604;13633.24006571807
VGC310A;;1.04;27;2604;13633.24006571807
VGC310B;;0.69;18;2604;13633.24006571807
VGC310C;;0.00;0;2604;13633.24006571807
VGC310X;;0.00;0;2604;13633.24006571807
VGC310Y;;0.77;20;2604;13633.24006571807
VGC310Z;;1.08;28;2604;13633.24006571807
VGW003A;;1.38;36;2604;13633.24006571807
VGW003B;;1.46;38;2604;13633.24006571807
VGW003C;;0.54;14;2604;13633.24006571807
VGW005A;;1.80;47;2604;13633.24006571807
VGW005B;;0.69;18;2604;13633.24006571807
VGW005C;;0.69;18;2604;13633.24006571807
VGW005X;;0.54;14;2604;13633.24006571807
VGW005Y;;0.54;14;2604;13633.24006571807
VGW005Z;;1.15;30;2604;13633.24006571807
VGW006A;;0.00;0;2604;13633.24006571807
VGW006B;;0.00;0;2604;13633.24006571807
VGW006C;;0.00;0;2604;13633.24006571807
VGW006X;;0.00;0;2604;13633.24006571807
VGW006Y;;0.00;0;2604;13633.24006571807
VGW006Z;;0.00;0;2604;13633.24006571807
VGW008A;;0.00;0;2604;13633.24006571807
VGW008B;;0.00;0;2604;13633.24006571807
VGW008C;;0.00;0;2604;13633.24006571807
VGW008X;;0.00;0;2604;13633.24006571807
VGW008Y;;0.00;0;2604;13633.24006571807
VGW008Z;;0.00;0;2604;13633.24006571807
VGW033A;;0.84;22;2604;13633.24006571807
VGW033B;;1.50;39;2604;13633.24006571807
VGW033C;;0.73;19;2604;13633.24006571807
VGW033X;;0.50;13;2604;13633.24006571807
VGW033Y;;1.11;29;2604;13633.24006571807
VGW033Z;;0.69;18;2604;13633.24006571807
VGW034A;;0.00;0;2604;13633.24006571807
VGW034B;;0.00;0;2604;13633.24006571807
VGW034C;;0.00;0;2604;13633.24006571807
VGW034X;;0.00;0;2604;13633.24006571807
VGW034Y;;0.00;0;2604;13633.24006571807
VGW034Z;;0.00;0;2604;13633.24006571807
VGW038A;;0.88;23;2604;13633.24006571807
VGW038B;;0.73;19;2604;13633.24006571807
VGW038C;;0.04;1;2604;13633.24006571807
VGW038X;;0.04;1;2604;13633.24006571807
VGW038Y;;0.73;19;2604;13633.24006571807
VGW038Z;;0.58;15;2604;13633.24006571807
VGW040A;;0.12;3;2604;13633.24006571807
VGW040B;;0.04;1;2604;13633.24006571807
VGW040C;;0.42;11;2604;13633.24006571807
VGW040X;;0.15;4;2604;13633.24006571807
VGW040Y;;0.12;3;2604;13633.24006571807
VGW040Z;;0.12;3;2604;13633.24006571807
VGW041A;;0.00;0;2604;13633.24006571807
VGW041B;;0.04;1;2604;13633.24006571807
VGW041C;;0.04;1;2604;13633.24006571807
VGW041X;;0.04;1;2604;13633.24006571807
VGW041Y;;0.00;0;2604;13633.24006571807
VGW041Z;;0.00;0;2604;13633.24006571807
VGW042A;;0.42;11;2604;13633.24006571807
VGW042B;;0.00;0;2604;13633.24006571807
VGW042C;;0.69;18;2604;13633.24006571807
VGW042X;;1.00;26;2604;13633.24006571807
VGW042Y;;0.00;0;2604;13633.24006571807
VGW042Z;;0.88;23;2604;13633.24006571807
